date,total_visits,total_revenue,year,month,day_of_week,day_of_year,is_weekend,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_sum_7,rolling_mean_14,rolling_std_14,rolling_sum_14,rolling_mean_30,rolling_std_30,rolling_sum_30
2020-01-01,12,26741.28,2020,1,2,1,0,,,,,,,,,,,,,,
2020-01-02,15,27772.03,2020,1,3,2,0,12.0,,,,,,,,,,,,,
2020-01-03,13,32340.68,2020,1,4,3,0,15.0,,,,,,,,,,,,,
2020-01-04,5,8777.97,2020,1,5,4,1,13.0,12.0,,,,,,,,,,,,
2020-01-05,6,11084.08,2020,1,6,5,1,5.0,15.0,,,,,,,,,,,,
2020-01-06,12,28456.420000000002,2020,1,0,6,0,6.0,13.0,,,,,,,,,,,,
2020-01-07,13,27375.010000000002,2020,1,1,7,0,12.0,5.0,,,,10.857142857142858,3.8047589248453675,76.0,,,,,,
2020-01-08,15,36336.17,2020,1,2,8,0,13.0,6.0,12.0,,,11.285714285714286,4.111540089159037,79.0,,,,,,
2020-01-09,21,50161.4,2020,1,3,9,0,15.0,12.0,15.0,,,12.142857142857142,5.429197958832453,85.0,,,,,,
2020-01-10,19,43498.88,2020,1,4,10,0,21.0,13.0,13.0,,,13.0,6.027713773341707,91.0,,,,,,
2020-01-11,3,4217.02,2020,1,5,11,1,19.0,15.0,5.0,,,12.714285714285714,6.4990841845674865,89.0,,,,,,
2020-01-12,9,17858.920000000002,2020,1,6,12,1,3.0,21.0,6.0,,,13.142857142857142,6.06708528121402,92.0,,,,,,
2020-01-13,19,51869.4,2020,1,0,13,0,9.0,19.0,12.0,,,14.142857142857142,6.414269805898185,99.0,,,,,,
2020-01-14,24,67941.61,2020,1,1,14,0,19.0,3.0,13.0,,,15.714285714285714,7.364651739090941,110.0,13.285714285714286,6.169759644097496,186.0,,,
2020-01-15,21,57042.02,2020,1,2,15,0,24.0,9.0,15.0,12.0,,16.571428571428573,7.612646120264683,116.0,13.928571428571429,6.486249191283709,195.0,,,
2020-01-16,15,22299.12,2020,1,3,16,0,21.0,19.0,21.0,15.0,,15.714285714285714,7.364651739090941,110.0,13.928571428571429,6.486249191283709,195.0,,,
2020-01-17,20,37589.79,2020,1,4,17,0,15.0,24.0,19.0,13.0,,15.857142857142858,7.4482340508465805,111.0,14.428571428571429,6.676183683170241,202.0,,,
2020-01-18,13,20880.86,2020,1,5,18,1,20.0,21.0,3.0,5.0,,17.285714285714285,5.186980037050642,121.0,15.0,6.1268639236122695,210.0,,,
2020-01-19,5,13922.87,2020,1,6,19,1,13.0,15.0,9.0,6.0,,16.714285714285715,6.343350474165464,117.0,14.928571428571429,6.244558070392611,209.0,,,
2020-01-20,15,58138.66,2020,1,0,20,0,5.0,20.0,19.0,12.0,,16.142857142857142,6.283008075451636,113.0,15.142857142857142,6.187545093630776,212.0,,,
2020-01-21,28,86333.27,2020,1,1,21,0,15.0,13.0,24.0,13.0,,16.714285714285715,7.227592630889985,117.0,16.214285714285715,7.0293732232744555,227.0,,,
2020-01-22,17,41654.41,2020,1,2,22,0,28.0,5.0,21.0,15.0,,16.142857142857142,6.986381310057719,113.0,16.357142857142858,7.023117244085836,229.0,,,
2020-01-23,19,36165.59,2020,1,3,23,0,17.0,15.0,15.0,21.0,,16.714285714285715,7.040698017343773,117.0,16.214285714285715,6.941276444669143,227.0,,,
2020-01-24,15,27069.22,2020,1,4,24,0,19.0,28.0,20.0,19.0,,16.0,6.904105059069326,112.0,15.928571428571429,6.8999920369439645,223.0,,,
2020-01-25,11,20724.75,2020,1,5,25,1,15.0,17.0,13.0,3.0,,15.714285714285714,7.087883692477977,110.0,16.5,6.02239410610355,231.0,,,
2020-01-26,7,28570.42,2020,1,6,26,1,11.0,19.0,5.0,9.0,,16.0,6.608075867199669,112.0,16.357142857142858,6.233990484644435,229.0,,,
2020-01-27,16,50197.28,2020,1,0,27,0,7.0,15.0,15.0,19.0,,16.142857142857142,6.593647736738023,113.0,16.142857142857142,6.187545093630776,226.0,,,
